time_s,x_m,y_m,vx_mps,vy_mps,sampled_inside_union,sampled_collision,sampled_keep_out,sampled_hold_eligible
78.25,0.27850354138056893,-38.08946319832463,0.008005754775535258,0.7498773553041574,True,False,False,False
78.5,0.28051596816065755,-37.90262238620069,0.008093184601315737,0.7448491332908621,True,False,False,False
78.75,0.28254912062199106,-37.71703340106943,0.008171559766095349,0.7398627399016524,True,False,False,False
79.0,0.2845995197153087,-37.53270455385965,0.008231154519578558,0.734768032035342,True,False,False,False
79.25,0.2866658086818214,-37.34962788794248,0.008298691027231318,0.7298452888979132,True,False,False,False
79.5,0.288776663697399,-37.16779883989356,0.008587673339805695,0.724787068398826,True,False,False,False
79.75,0.2909442793250155,-36.98723106583801,0.008752772624567556,0.7197551092141585,True,False,False,False
80.0,0.2931692386154302,-36.80791491057314,0.009046429723652868,0.7147741050390367,True,False,False,False
80.25,0.29543516221763677,-36.629839199065586,0.009080491198297902,0.7098315837697505,True,False,False,False
80.5,0.29772861912785115,-36.45298686969047,0.009266709686071864,0.704987032769746,True,False,False,False
80.75,0.3000802109368904,-36.27735006620589,0.009545570005553207,0.7001073693415817,True,False,False,False
81.0,0.302481245085474,-36.10293838274589,0.009662237468158495,0.6951860879301943,True,False,False,False
81.25,0.3049288326507646,-35.92974588228296,0.00991800961628729,0.690353891506804,True,False,False,False
81.5,0.3073991209141753,-35.757772514654164,0.009843829087285205,0.6854330571701021,True,False,False,False
81.75,0.3098862359584737,-35.58704457258189,0.010052613428162459,0.6803904597570467,True,False,False,False
82.0,0.3124228809261364,-35.41754884871183,0.010240097480081693,0.6755753137709343,True,False,False,False
82.25,0.31498336282560296,-35.249274308656574,0.010243298532373407,0.6706210064657856,True,False,False,False
82.5,0.31752245999220524,-35.08224167404938,0.010069010648404562,0.6656400873566547,True,False,False,False
82.75,0.32003566775754816,-34.91647871769188,0.010036159123965785,0.6604635665295032,True,False,False,False
83.0,0.3225343810853574,-34.75197758507002,0.009953089613909116,0.6555455021941082,True,False,False,False
83.25,0.32501245948860014,-34.58871159584582,0.00987107628876388,0.6505824193301059,True,False,False,False
83.5,0.3274807205196811,-34.42667218926983,0.009874546100174145,0.6457328339053654,True,False,False,False
83.75,0.3299764788782806,-34.265842468417745,0.010091070379314122,0.640904911452631,True,False,False,False
84.0,0.33250405850271564,-34.10625445693249,0.010129086829221541,0.6357991757731323,True,False,False,False
84.25,0.33505226844219127,-33.947925188932004,0.010256115136720291,0.6308349567748747,True,False,False,False
84.5,0.3376137995848342,-33.79085403024032,0.010235657198687124,0.6257343147039871,True,False,False,False
84.75,0.34016364582270453,-33.63506049039496,0.010162625968372065,0.6206140106526422,True,False,False,False
85.0,0.3427119184850001,-33.48053453158367,0.01022308135204534,0.6155936548869844,True,False,False,False
85.25,0.3452509046894666,-33.3272724313511,0.010088330290216031,0.6105031601654533,True,False,False,False
85.5,0.34776254568807824,-33.17526931492248,0.010004324190365746,0.6055217797825813,True,False,False,False
85.75,0.35027951184417094,-33.024492183767556,0.010130952242124243,0.600695256943459,True,False,False,False
86.0,0.352843803680445,-32.87493219847667,0.010382923330414663,0.5957846007924605,True,False,False,False
86.25,0.35543955758396,-32.72662950421774,0.010382612186564284,0.5906369543890688,True,False,False,False
86.5,0.3580388175329376,-32.57959628614411,0.010411003025917014,0.585628787348113,True,False,False,False
86.75,0.36065126933554487,-32.433808326713326,0.010488144848416953,0.5806748812916822,True,False,False,False
87.0,0.36328632924466225,-32.28928152068014,0.01059185441552759,0.5755395568259165,True,False,False,False
87.25,0.36593442052333214,-32.14601823266899,0.010592409092772835,0.5705667476151122,True,False,False,False
87.5,0.368613618240549,-32.00403778453443,0.0108406807843699,0.5652768139170011,True,False,False,False
87.75,0.37133338062375465,-31.863329030920138,0.010916950906996369,0.5603932084357434,True,False,False,False
88.0,0.3740891473082239,-31.72386582995574,0.011128698341189014,0.5553123798088254,True,False,False,False
88.25,0.37685542106372977,-31.585666046603507,0.011001022062018515,0.5502859002117382,True,False,False,False
88.5,0.3796073722151939,-31.448755606873057,0.011014084362352142,0.544997616418344,True,False,False,False
88.75,0.38235744254664733,-31.313124902246788,0.010986017889517787,0.5400480233529136,True,False,False,False
89.0,0.38510070446518463,-31.178755466378963,0.010959595803827285,0.5349074658052535,True,False,False,False
89.25,0.38781916628164403,-31.045645645985154,0.010787633376545626,0.5299711133679796,True,False,False,False
89.5,0.39048355344800667,-30.913779485614693,0.01052698923267234,0.5249581948385187,True,False,False,False
89.75,0.3931182145709206,-30.78313566295739,0.010549849267618462,0.5201923849338008,True,False,False,False
90.0,0.39577143514282603,-30.6537165025528,0.010675432960172676,0.5151608864740643,True,False,False,False
90.25,0.3984622079071057,-30.52554440508806,0.010850284152977153,0.510215876852583,True,False,False,False
90.5,0.4012024588333224,-30.398624435907315,0.011071244471270988,0.5051438552045933,True,False,False,False
90.75,0.40399455446460947,-30.272950853699772,0.011265059106528266,0.500244784626195,True,False,False,False
91.0,0.406828608284137,-30.148486601405377,0.0114069235398324,0.49546922092283047,True,False,False,False
91.25,0.40968868639618145,-30.02525226482989,0.011473224439515574,0.49040546492915554,True,False,False,False
91.5,0.41255813467553876,-29.903297733472165,0.011481876105160875,0.4852307835986284,True,False,False,False
91.75,0.4154459547449456,-29.782599151872944,0.011620217396459742,0.4803578564955595,True,False,False,False
92.0,0.4183446932910899,-29.66315308192863,0.011569214852206078,0.47521070681095035,True,False,False,False
92.25,0.42125008518701573,-29.54498027271246,0.011673445050125325,0.47017175757689844,True,False,False,False
92.5,0.42416415135694197,-29.428045758104027,0.011638617667427069,0.465304362889135,True,False,False,False
92.75,0.4270743255816493,-29.312351331945823,0.011642302104408947,0.46025104639440884,True,False,False,False
93.0,0.42998742834484655,-29.19792000955889,0.011662047782863685,0.4551995312049258,True,False,False,False
93.25,0.4329178054281682,-29.084734855852464,0.01178051313947575,0.45028168697765897,True,False,False,False
93.5,0.43583729992849374,-28.972794875908804,0.011574965049158205,0.4452381734484142,True,False,False,False
93.75,0.4387469472856785,-28.862118232813685,0.01170173508038972,0.4401749600365193,True,False,False,False
94.0,0.4416613216749535,-28.752745772284253,0.011612756736375206,0.43480473234454475,True,False,False,False
94.25,0.4445657087381591,-28.644680487508303,0.011621865640300745,0.42971754548555785,True,False,False,False
94.5,0.44746060568395657,-28.537905049633494,0.011536818601178882,0.4244859652446767,True,False,False,False
94.75,0.450335198480066,-28.43242862394412,0.01145943756636484,0.4193254466843858,True,False,False,False
95.0,0.45320745248451677,-28.32819636707691,0.011518146762278504,0.41453260223631005,True,False,False,False
95.25,0.45608737928273224,-28.22517537255152,0.011520806302844452,0.4096353532325347,True,False,False,False
95.5,0.4589349550050165,-28.123386435636778,0.011259325579089097,0.40467616828714187,True,False,False,False
95.75,0.4617568211776364,-28.022848058741122,0.011315128560056655,0.3996308416046028,True,False,False,False
96.0,0.4645607320085266,-27.923540638981684,0.01111569723855263,0.39482853647083316,True,False,False,False
96.25,0.46732567509434175,-27.82544223146571,0.011003395585550697,0.3899587327503714,True,False,False,False
96.5,0.47006535108733943,-27.728588704272973,0.010913531548504177,0.38486949301241496,True,False,False,False
96.75,0.4727863729594518,-27.632998408696096,0.010854169185023209,0.37985287644004956,True,False,False,False
97.0,0.47546146775140885,-27.538651937393208,0.010546128577771322,0.37491892218475603,True,False,False,False
97.25,0.47809883336049097,-27.445561474091896,0.010552319677117075,0.36980478298158925,True,False,False,False
