gate,position_m,velocity_boundary_mps,strict_obstruction_boundary_excluded
information_boxes,582858144649061104181208954256383254933706359379961458/13278507618805796150318880280777540620792105939232852852525,14252269394156803666526228476697752448021819787695724223/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,582858144649061104181208954256383254933706359379961458/13278507618805796150318880280777540620792105939232852852525,14739587924489517705391522388160909176425294850704291289785846488073623937422385473173787138172161572531338456376/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,610613294394254490094599856840020552787692376493292956/13278507618805796150318880280777540620792105939232852852525,7035930460406523329044593804952055005985455338229534743/43195044504947660117861982257703276042907987397115534461800,False
shifted_triples,610613294394254490094599856840020552787692376493292956/13278507618805796150318880280777540620792105939232852852525,12648921795624290036388700234062521174182941626353659660217319071309371337880925444662913847523472171706928254696/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,27755149745193385913390902583637297853986017113331498/577326418208947658709516533946849592208352432140558819675,13891452447469289649652146743110467575920001565222414749/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,27755149745193385913390902583637297853986017113331498/577326418208947658709516533946849592208352432140558819675,459054594206915755103733829563657963997416887043609914376034419762831249493020235484871328559773163951413828392/43491326024331312010567630082275830531673156141166499495297869045582491150143839869132384210720331088880481072049175,True
information_boxes,666123593884641261921381662007295148495664410719955952/13278507618805796150318880280777540620792105939232852852525,3427760993531383160303776469079206284967273113496440003/21597522252473830058930991128851638021453993698557767230900,False
shifted_triples,666123593884641261921381662007295148495664410719955952/13278507618805796150318880280777540620792105939232852852525,8467589537893834698383055925865745169698235177652396401080264237780866138798005387641167266226093370058107851336/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,27755149745193385913390902583637297853986017113331498/531140304752231846012755211231101624831684237569314114101,541225420031271025311122600380927308152727333709964211/3455603560395812809428958580616262083432638991769242756944,False
shifted_triples,27755149745193385913390902583637297853986017113331498/531140304752231846012755211231101624831684237569314114101,6376923409028607029380233771767357167455881953301764771511736821016613539256545359130293975577403969233697649656/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,721633893375028033748163467174569744203636444946618948/13278507618805796150318880280777540620792105939232852852525,6675113513719009312170512071364770133883637115756225269/43195044504947660117861982257703276042907987397115534461800,False
shifted_triples,721633893375028033748163467174569744203636444946618948/13278507618805796150318880280777540620792105939232852852525,4286257280163379360377411617668969165213528728951133141943209404252360939715085330619420684928714568409287447976/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,749389043120221419661554369758207042057622462059950446/13278507618805796150318880280777540620792105939232852852525,13169818554094261615903983275935897831716365120275795801/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,749389043120221419661554369758207042057622462059950446/13278507618805796150318880280777540620792105939232852852525,2195591151298151691374589463570581162971175504600501512374681987488108340173625302108547394280025167584877246296/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,777144192865414805574945272341844339911608479173281944/13278507618805796150318880280777540620792105939232852852525,1623676260093813075933367801142781924458182001129892633/10798761126236915029465495564425819010726996849278883615450,False
shifted_triples,777144192865414805574945272341844339911608479173281944/13278507618805796150318880280777540620792105939232852852525,104925022432924022371767309472193160728822280249869882806154570723855740632165273597674103631335766760467044616/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,804899342610608191488336174925481637765594496286613442/13278507618805796150318880280777540620792105939232852852525,12809001607406747599029901542348612959614546897802486327/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,166530898471160315480345415501823787123916102679988988/2655701523761159230063776056155508124158421187846570570505,1262859313406299059059286067555497052356363778656583159/8639008900989532023572396451540655208581597479423106892360,False
information_boxes,860409642100994963315117980092756233473566530513276438/13278507618805796150318880280777540620792105939232852852525,12448184660719233582155819808761328087512728675329176853/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,888164791846188349228508882676393531327552547626607936/13278507618805796150318880280777540620792105939232852852525,3066944046843869143429694735491921412865454891023130529/21597522252473830058930991128851638021453993698557767230900,False
information_boxes,915919941591381735141899785260030829181538564739939434/13278507618805796150318880280777540620792105939232852852525,12087367714031719565281738075174043215410910452855867379/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,943675091336575121055290687843668127035524581853270932/13278507618805796150318880280777540620792105939232852852525,5953479620343981278422348604190200389680000670809606321/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,194286048216353701393736318085461084977902119793320486/2655701523761159230063776056155508124158421187846570570505,2345310153468841109681531268317351668661818446076511581/17278017801979064047144792903081310417163194958846213784720,False
information_boxes,999185390826961892882072493010942722743496616079933928/13278507618805796150318880280777540620792105939232852852525,721633893375028033748163467174569744203636444946618948/5399380563118457514732747782212909505363498424639441807725,False
information_boxes,1026940540572155278795463395594580020597482633193265426/13278507618805796150318880280777540620792105939232852852525,11365733820656691531533574607999473471207274007909248431/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1054695690317348664708854298178217318451468650306596924/13278507618805796150318880280777540620792105939232852852525,5592662673656467261548266870602915517578182448336296847/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,1082450840062542050622245200761854616305454667419928422/13278507618805796150318880280777540620792105939232852852525,11004916873969177514659492874412188599105455785435938957/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,222041197961547087307127220669098382831888136906651984/2655701523761159230063776056155508124158421187846570570505,541225420031271025311122600380927308152727333709964211/4319504450494766011786198225770327604290798739711553446180,False
information_boxes,1137961139552928822449027005929129212013426701646591418/13278507618805796150318880280777540620792105939232852852525,10644099927281663497785411140824903727003637562962629483/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1165716289298122208362417908512766509867412718759922916/13278507618805796150318880280777540620792105939232852852525,5231845726968953244674185137015630645476364225862987373/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,1193471439043315594275808811096403807721398735873254414/13278507618805796150318880280777540620792105939232852852525,10283282980594149480911329407237618854901819340489320009/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1221226588788508980189199713680041105575384752986585912/13278507618805796150318880280777540620792105939232852852525,1262859313406299059059286067555497052356363778656583159/10798761126236915029465495564425819010726996849278883615450,False
information_boxes,249796347706740473220518123252735680685874154019983482/2655701523761159230063776056155508124158421187846570570505,1984493206781327092807449534730066796560000223603202107/17278017801979064047144792903081310417163194958846213784720,False
information_boxes,55510299490386771826781805167274595707972034226662996/577326418208947658709516533946849592208352432140558819675,4871028780281439227800103403428345773374546003389677899/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,1304492038024089137929372421430952999137342804326580406/13278507618805796150318880280777540620792105939232852852525,9561649087219121447163165940063049110698182895542701061/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1332247187769282523842763324014590296991328821439911904/13278507618805796150318880280777540620792105939232852852525,2345310153468841109681531268317351668661818446076511581/21597522252473830058930991128851638021453993698557767230900,False
information_boxes,1360002337514475909756154226598227594845314838553243402/13278507618805796150318880280777540620792105939232852852525,9200832140531607430289084206475764238596364673069391587/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,55510299490386771826781805167274595707972034226662996/531140304752231846012755211231101624831684237569314114101,180408473343757008437040866793642436050909111236654737/1727801780197906404714479290308131041716319495884621378472,False
information_boxes,1415512637004862681582936031765502190553286872779906398/13278507618805796150318880280777540620792105939232852852525,8840015193844093413415002472888479366494546450596082113/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1443267786750056067496326934349139488407272889893237896/13278507618805796150318880280777540620792105939232852852525,541225420031271025311122600380927308152727333709964211/5399380563118457514732747782212909505363498424639441807725,False
information_boxes,1471022936495249453409717836932776786261258907006569394/13278507618805796150318880280777540620792105939232852852525,8479198247156579396540920739301194494392728228122772639/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1498778086240442839323108739516414084115244924119900892/13278507618805796150318880280777540620792105939232852852525,4149394886906411194051939936253776029170909558443058951/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,305306647197127245047299928420010276393846188246646478/2655701523761159230063776056155508124158421187846570570505,1623676260093813075933367801142781924458182001129892633/17278017801979064047144792903081310417163194958846213784720,False
information_boxes,1554288385730829611149890544683688679823216958346563888/13278507618805796150318880280777540620792105939232852852525,1984493206781327092807449534730066796560000223603202107/21597522252473830058930991128851638021453993698557767230900,False
information_boxes,1582043535476022997063281447267325977677202975459895386/13278507618805796150318880280777540620792105939232852852525,7757564353781551362792757272126624750189091783176153691/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1609798685221216382976672349850963275531188992573226884/13278507618805796150318880280777540620792105939232852852525,3788577940218897177177858202666491157069091335969749477/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,1637553834966409768890063252434600573385175009686558382/13278507618805796150318880280777540620792105939232852852525,7396747407094037345918675538539339878087273560702844217/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,333061796942320630960690831003647574247832205359977976/2655701523761159230063776056155508124158421187846570570505,180408473343757008437040866793642436050909111236654737/2159752225247383005893099112885163802145399369855776723090,False
information_boxes,1693064134456796540716845057601875169093147043913221378/13278507618805796150318880280777540620792105939232852852525,7035930460406523329044593804952055005985455338229534743/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1720819284201989926630235960185512466947133061026552876/13278507618805796150318880280777540620792105939232852852525,3427760993531383160303776469079206284967273113496440003/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,1748574433947183312543626862769149764801119078139884374/13278507618805796150318880280777540620792105939232852852525,6675113513719009312170512071364770133883637115756225269/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1776329583692376698457017765352787062655105095253215872/13278507618805796150318880280777540620792105939232852852525,1623676260093813075933367801142781924458182001129892633/21597522252473830058930991128851638021453993698557767230900,False
information_boxes,360816946687514016874081733587284872101818222473309474/2655701523761159230063776056155508124158421187846570570505,1262859313406299059059286067555497052356363778656583159/17278017801979064047144792903081310417163194958846213784720,False
information_boxes,1831839883182763470283799570520061658363077129479878868/13278507618805796150318880280777540620792105939232852852525,3066944046843869143429694735491921412865454891023130529/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,1859595032927956856197190473103698956217063146593210366/13278507618805796150318880280777540620792105939232852852525,5953479620343981278422348604190200389680000670809606321/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1887350182673150242110581375687336254071049163706541864/13278507618805796150318880280777540620792105939232852852525,360816946687514016874081733587284872101818222473309474/5399380563118457514732747782212909505363498424639441807725,False
information_boxes,83265449235580157740172707750911893561958051339994494/577326418208947658709516533946849592208352432140558819675,5592662673656467261548266870602915517578182448336296847/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,388572096432707402787472636170922169955804239586640972/2655701523761159230063776056155508124158421187846570570505,541225420031271025311122600380927308152727333709964211/8639008900989532023572396451540655208581597479423106892360,False
