time_s,ax_mps2,ay_mps2
184,1.0358185252413367e-06,-2.0533795296114868e-05
185,9.81445987795679e-07,-1.53794788939116e-05
186,9.269081205241783e-07,-1.1076459474888692e-05
187,8.729200634198875e-07,-7.501765077621114e-06
188,8.200333496513941e-07,-4.549119846772355e-06
189,7.686647428418834e-07,-2.1267510816517393e-06
190,7.191204832445068e-07,-1.5547887437965965e-07
191,6.71616635808195e-07,1.4329476626995437e-06
192,6.262961318925689e-07,2.697299029625116e-06
193,5.832430096112004e-07,3.6881262932217345e-06
194,5.424942834510139e-07,4.44885835335992e-06
195,5.040498101454993e-07,5.016756465915926e-06
196,4.678804632934842e-07,5.423744311731572e-06
197,4.3393488260021183e-07,5.697129579819207e-06
198,4.021450237588374e-07,5.860231002719615e-06
199,3.724307009336371e-07,5.932923011335225e-06
200,3.4470328471638734e-07,5.932108624864834e-06
201,3.188686936071583e-07,5.8721298432305065e-06
202,2.9482979589062475e-07,5.765123622573072e-06
203,2.724883207389834e-07,5.621330488014689e-06
204,2.517463619950526e-07,5.449361930160312e-06
205,2.3250754501780526e-07,5.256431951370297e-06
206,2.1467791584287067e-07,5.048557434554217e-06
207,1.9816660246960432e-07,4.830731411996022e-06
208,1.828862900629023e-07,4.6070727857131765e-06
209,1.6875354506034508e-07,4.3809555931635225e-06
210,1.556890174198395e-07,4.155120515475132e-06
211,1.4361754536893227e-07,3.931770975018546e-06
212,1.3246818290436608e-07,3.7126558664345226e-06
213,1.221741668185498e-07,3.4991407009633385e-06
214,1.1267283710312912e-07,3.2922687112596765e-06
215,1.0390552212220691e-07,3.0928132630717075e-06
216,9.581739788299965e-08,2.9013227462285056e-06
217,8.835732899728798e-08,2.7181589608929746e-06
218,8.147769748454814e-08,2.5435298850846984e-06
219,7.513422435631266e-08,2.3775175902366332e-06
220,6.928578792020533e-08,2.220101972495739e-06
221,6.389424190653372e-08,2.0711808782857424e-06
222,5.892423583151008e-08,1.9305871255040994e-06
223,5.43430394446286e-08,1.7981028561703866e-06
224,5.012037263994585e-08,1.6734715972545609e-06
225,4.622824183110252e-08,1.5564083550916392e-06
226,4.2640783483401714e-08,1.4466080272689106e-06
227,3.933411524331198e-08,1.3437523751230344e-06
228,3.628619490891278e-08,1.2475157677754841e-06
229,3.347668732672887e-08,1.1575698799181943e-06
230,3.088683917622481e-08,1.0735875005980853e-06
231,2.8499361507098676e-08,9.952455886437681e-07
232,2.629831982128729e-08,9.222276894692662e-07
233,2.426903144251046e-08,8.542258157033545e-07
234,2.2397969872394298e-08,7.909418760214866e-07
235,2.067267581079287e-08,7.320887262919161e-07
236,1.9081674501534247e-08,6.773909065902297e-07
