case,information,role,plant,arm,physical_status,hold,overrides,changed_commands,geometry_checks,geometry_rejections,numerical_rejections,first_exit_lower_s,first_exit_upper_s,min_separation_lower_m,min_separation_upper_m,sampled_minimum_m,control_effort_mps,decision_cpu_s,decision_wall_max_s,fault_packet_dispositions,ambiguous_intervals
estimated_dropout,estimator,estimator_mechanism,nonlinear,controlled_union,validated_violation,satisfied,45,45,300,45,0,98.235595703125,98.23583984375,24.022210205727713,24.022738863057036,24.02279529651927,2.5301761849491795,1.4820970000000955,0.005768417031504214,"{""dropout"": 6}",1
estimated_dropout,estimator,estimator_mechanism,nonlinear,no_gate,validated_violation,satisfied,0,0,0,0,0,98.235595703125,98.23583984375,24.021328355102835,24.02187791636472,24.021920630921667,2.536852023325712,0.0032090000000408736,1.762493047863245e-05,"{""dropout"": 6}",1
estimated_dropout,estimator,estimator_mechanism,nonlinear,original_gate,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021328355102835,24.02187791636472,24.021920630921667,2.536852023325712,1.911265000000114,0.01810112490784377,"{""dropout"": 6}",1
estimated_nominal,estimator,estimator_mechanism,hcw,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021130036538295,24.021648580896453,24.02171565058376,2.5342329789019953,1.4157040000000691,0.005103499977849424,{},1
estimated_nominal,estimator,estimator_mechanism,hcw,controlled_union,validated_violation,satisfied,45,45,300,45,0,98.235595703125,98.23583984375,24.022208768043345,24.02273742194228,24.022793858911488,2.5300842331789934,1.464685000000074,0.0057152919471263885,{},1
estimated_nominal,estimator,estimator_mechanism,hcw,no_gate,validated_violation,satisfied,0,0,0,0,0,98.235595703125,98.23583984375,24.021130036538295,24.021648580896453,24.02171565058376,2.5342329789019953,0.0028179999998627636,2.2707972675561905e-05,{},1
estimated_nominal,estimator,estimator_mechanism,hcw,original_gate,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021130036538295,24.021648580896453,24.02171565058376,2.5342329789019953,1.8965640000000263,0.018166832975111902,{},1
estimated_nominal,estimator,estimator_mechanism,nonlinear,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021131468848072,24.021650016571353,24.02171708203961,2.5342329789019953,1.42132399999997,0.0054448749870061874,{},1
estimated_nominal,estimator,estimator_mechanism,nonlinear,controlled_union,validated_violation,satisfied,45,45,300,45,0,98.235595703125,98.23583984375,24.022210205727713,24.022738863057036,24.02279529651927,2.5300842331789934,1.4815589999999688,0.005701040965504944,{},1
estimated_nominal,estimator,estimator_mechanism,nonlinear,no_gate,validated_violation,satisfied,0,0,0,0,0,98.235595703125,98.23583984375,24.021131468848072,24.021650016571353,24.02171708203961,2.5342329789019953,0.0031430000000369773,1.691700890660286e-05,{},1
estimated_nominal,estimator,estimator_mechanism,nonlinear,original_gate,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021131468848072,24.021650016571353,24.02171708203961,2.5342329789019953,1.9658500000000316,0.01821570796892047,{},1
hold_interior,ideal,ideal_main,hcw,controlled_in_band,validated_containment,satisfied,0,0,300,0,0,,,29.999999999991473,30.0,30.0,0.0,1.241581000000025,0.004882292007096112,{},0
hold_interior,ideal,ideal_main,hcw,controlled_union,validated_containment,satisfied,0,0,300,0,0,,,29.999999999991473,30.0,30.0,0.0,1.2933370000000117,0.005774874938651919,{},0
hold_interior,ideal,ideal_main,hcw,no_gate,validated_containment,satisfied,0,0,0,0,0,,,29.999999999991473,30.0,30.0,0.0,0.002272999999988201,2.1000043489038944e-05,{},0
hold_interior,ideal,ideal_main,hcw,original_gate,validated_containment,satisfied,0,0,300,0,0,,,29.999999999991473,30.0,30.0,0.0,10.26991099999993,0.06553295894991606,{},0
hold_interior,ideal,ideal_main,nonlinear,controlled_in_band,validated_containment,satisfied,0,0,300,0,0,,,29.999999999999982,30.0,29.99999999475607,7.620492522187342e-08,1.4111690000000188,0.006104708998464048,{},0
hold_interior,ideal,ideal_main,nonlinear,controlled_union,validated_containment,satisfied,0,0,300,0,0,,,29.999999999999982,30.0,29.99999999475607,7.620492522187342e-08,1.5201969999999498,0.012856291956268251,{},0
hold_interior,ideal,ideal_main,nonlinear,no_gate,validated_containment,satisfied,0,0,0,0,0,,,29.999999999999982,30.0,29.99999999475607,7.620492522187342e-08,0.002988000000012647,2.050003968179226e-05,{},0
